target,BJD,RV_mlc_nzp,e_RV_mlc_nzp
HD69830,2453867.52140772,30298.3375109489,0.233048860656091
HD69830,2453867.52484493,30298.5537010882,0.209539319875012
HD69830,2453867.52832844,30299.0125011389,0.224379174772913
HD69830,2453868.49805163,30301.7596167336,0.228753078680191
HD69830,2453868.50155828,30301.3542654355,0.212268217290145
HD69830,2453868.50500707,30300.9678139969,0.2241233101958
HD69830,2453869.54824301,30302.6306126531,0.224105661851675
HD69830,2453869.55176124,30301.5463189371,0.222362809268693
HD69830,2453869.55533733,30301.6317715995,0.224211492395696
HD69830,2453870.4838029,30301.3842202499,0.186175679964446
HD69830,2453870.48903395,30301.3565708566,0.176589634610445
HD69830,2453871.54139017,30299.0746907458,0.213579749595505
HD69830,2453871.54500099,30298.4059168748,0.215696776128899
HD69830,2453871.54847293,30297.9625956329,0.2202911787796
HD69830,2453887.50261558,30301.5571437976,0.353600884048687
HD69830,2453887.50502281,30300.9013310235,0.421553389819847
HD69830,2453887.50756893,30301.0862743996,0.445763423059361
HD69830,2453887.51002245,30301.4387969491,0.366897591501411
HD69830,2453887.51256856,30303.2858664151,0.411966100358832
HD69830,2454075.81428624,30297.0250634774,0.412762018891785
HD69830,2454075.81533956,30297.3495465935,0.404849296746198
HD69830,2454075.81639287,30296.231120408,0.401226207656197
HD69830,2454075.81745776,30294.0992424634,0.4035128686456
HD69830,2454075.81852265,30296.8501848938,0.399348485385662
HD69830,2454075.81957597,30297.2398855338,0.386614211237181
HD69830,2454075.82062929,30295.9795689411,0.384794838684844
HD69830,2454075.8216826,30297.6381852984,0.367799622944715
HD69830,2454075.82273592,30296.5215901905,0.369512899257131
HD69830,2454075.82380081,30295.5952422497,0.366928161555159
HD69830,2454075.82485413,30296.2387367891,0.355416283705669
HD69830,2454075.82589587,30297.4357869555,0.366364802110186
HD69830,2454075.82696076,30296.7033755872,0.361333475113642
HD69830,2454075.82801407,30297.7892183832,0.370536361062166
HD69830,2454075.82907896,30297.926870113,0.372270303559805
HD69830,2454075.8301207,30295.1816799527,0.371962426659949
HD69830,2454075.8311856,30296.8849730182,0.365013829816897
HD69830,2454075.83225049,30298.0771596479,0.358009141419787
HD69830,2454075.83329223,30295.9460272773,0.354477273134624
HD69830,2454075.83434554,30297.7581648349,0.36376898931857
HD69830,2454075.83541043,30296.5205671042,0.358337954400112
HD69830,2454075.83646375,30296.7329927524,0.352061112735765
HD69830,2454075.83751707,30297.9264379727,0.354566738151799
HD69830,2454075.83858196,30296.7829092712,0.35165975876157
HD69830,2454075.83963527,30296.560160907,0.350689616464593
HD69830,2454075.84070016,30297.838915732,0.349275180621222
HD69830,2454075.84175348,30296.7296069132,0.350249843831062
HD69830,2454075.84279522,30297.7956578112,0.353753900753055
HD69830,2454075.84387169,30298.4725267093,0.347028185388586
HD69830,2454075.84491343,30296.1760953374,0.349817345815314
HD69830,2454075.84651076,30298.0345320315,0.344951694933503
HD69830,2454075.84757565,30295.8926805847,0.346520405263172
HD69830,2454075.8486174,30296.4024127059,0.361331338153447
HD69830,2454075.84967071,30296.5065491823,0.349762367979063
HD69830,2454075.85072403,30298.8630296603,0.353500975487031
HD69830,2454075.85178892,30296.7651417163,0.343264531690554
HD69830,2454075.85283066,30298.8324329188,0.351043507415797
HD69830,2454075.85388398,30296.855880328,0.345423187292297
HD69830,2454075.85600218,30296.3051139921,0.34536978497684
HD69830,2454075.85704392,30296.8308472187,0.348666584522406
HD69830,2454075.85809724,30296.8481242491,0.346128797702638
HD69830,2454075.85913898,30296.6526970917,0.370810043676292
HD69830,2454075.86021545,30297.5181814512,0.378219649874492
HD69830,2454078.82983346,30302.961636841,0.221589100212822
HD69830,2454078.83329435,30303.0742618034,0.178219609893511
HD69830,2454078.83720665,30303.1746698057,0.184723884168705
HD69830,2454082.81801744,30297.2398680608,0.207501889422737
HD69830,2454082.82223068,30297.1068096097,0.240429656397473
HD69830,2454114.78725663,30301.2104483714,0.279710000306566
HD69830,2454114.79068264,30300.0900450739,0.268154028139192
HD69830,2454114.7932753,30298.2408346251,0.309844061998052
HD69830,2454114.79569434,30299.4484284256,0.323817320897726
HD69830,2454114.7979282,30300.2641161752,0.308799179759712
HD69830,2454117.75089002,30294.1972264441,0.243032132631681
HD69830,2454117.75492946,30295.0550520951,0.210418790229775
HD69830,2454117.75929297,30296.1320771304,0.221542103303646
HD69830,2454120.74921014,30300.6991750663,0.237298501920078
HD69830,2454120.75316854,30297.7301876292,0.227368961262293
HD69830,2454120.75756676,30298.2964716172,0.190327426300525
HD69830,2454122.74285124,30298.0316931403,0.168704180424243
HD69830,2454122.74836057,30297.6030818206,0.167248421917896
HD69830,2454136.69763978,30296.2529866191,0.206178011189888
HD69830,2454136.70143605,30295.9780992981,0.180704955202339
HD69830,2454136.70526704,30296.0508364495,0.174369594663975
HD69830,2454142.67740731,30295.1354503245,0.202581792961662
HD69830,2454142.68130771,30295.3353735211,0.197850007843082
HD69830,2454142.68506922,30295.1549107267,0.183667171601523
HD69830,2454166.6134576,30296.7216657946,0.160765912388972
HD69830,2454166.61914019,30296.5584149788,0.162358970229255
HD69830,2454168.67554218,30292.1257669065,0.191361216295114
HD69830,2454168.68127105,30292.4341095979,0.187448821603741
HD69830,2454170.62615782,30296.1099504526,0.169387269940008
HD69830,2454170.63162049,30295.2020752722,0.168425568569815
HD69830,2454172.58703474,30301.5210517204,0.1477441152127
HD69830,2454172.59265942,30302.1406635627,0.145098362438317
HD69830,2454174.6110403,30302.7919740516,0.163781451834378
HD69830,2454174.61661868,30302.7655771243,0.166592178260439
